"Character","Alive/Dead","Wight/White Walker"
"Jon Snow","1","0"
"Sansa Stark","0","0"
"Arya Stark","1","0"
"Bran Stark","0","1"
"Cersi Lannister","0","0"
"Jaime Lannister","1","0"
"Tyrion Lannister","1","0"
"Daenerys Targaryen","0","1"
"Missandei","1","0"
"Yara Greyjoy","0","1"
"Theon Greyjoy","1","0"
"Euron Greyjoy","0","0"
"Melisandre","0","0"
"Jorah Mormont","0","1"
"The Hound","0","1"
"The Mountain","0","0"
"Samwell Tarly","1","0"
"Gilly","1","0"
"Sam Jr.","1","0"
"Lord Varys","1","0"
"Brienne of Tarth","1","0"
"Davos Seaworth","0","1"
"Bronn","1","0"
"Podrick Payne","0","1"
"Tormund Giantsbane","1","0"
"Grey Worm","0","1"
"Gendry","1","0"
"Beric Dondarrion","1","0"
"Hot Pie","0","1"
"Lyanna Mormont","1","0"
"Meera Reed","0","1"
"Robert Arryn","1","0"
"Edmure Tully","0","0"
"Qyburn","1","0"
"Daario Naharis","0","0"
"Elia Sand","1","0"
"Ghost","0","1"
"Drogon","0","0"
"Rhaegal","0","0"
"danny_preg","0",""
"babby_survive","NA",""
"dead_night_king","1",""
"night_king_killer","Bran",""
"iron_throne","Jon Snow",""
