"Character","Alive/Dead","Wight/White Walker"
"Jon Snow","1","0"
"Sansa Stark","1","0"
"Arya Stark","0","0"
"Bran Stark","0","1"
"Cersi Lannister","0","0"
"Jaime Lannister","0","0"
"Tyrion Lannister","1","0"
"Daenerys Targaryen","0","0"
"Missandei","0","0"
"Yara Greyjoy","1","0"
"Theon Greyjoy","1","0"
"Euron Greyjoy","0","0"
"Melisandre","0","0"
"Jorah Mormont","0","0"
"The Hound","1","0"
"The Mountain","0","0"
"Samwell Tarly","1","0"
"Gilly","1","0"
"Sam Jr.","1","0"
"Lord Varys","1","0"
"Brienne of Tarth","1","0"
"Davos Seaworth","0","0"
"Bronn","1","0"
"Podrick Payne","1","0"
"Tormund Giantsbane","1","0"
"Grey Worm","0","1"
"Gendry","1","0"
"Beric Dondarrion","0","0"
"Hot Pie","1","0"
"Lyanna Mormont","1","0"
"Meera Reed","1","0"
"Robert Arryn","1","0"
"Edmure Tully","0","0"
"Qyburn","0","0"
"Daario Naharis","0","1"
"Elia Sand","0","0"
"Ghost","1","0"
"Drogon","0","0"
"Rhaegal","1","0"
"danny_preg","1",""
"babby_survive","1",""
"dead_night_king","1",""
"night_king_killer","Bran",""
"iron_throne","Jon Snow",""
