"Character","Alive/Dead","Wight/White Walker"
"Jon Snow","1","0"
"Sansa Stark","1","0"
"Arya Stark","1","0"
"Bran Stark","1","0"
"Cersi Lannister","0","0"
"Jaime Lannister","0","0"
"Tyrion Lannister","0","0"
"Daenerys Targaryen","1","0"
"Missandei","1","0"
"Yara Greyjoy","0","0"
"Theon Greyjoy","0","0"
"Euron Greyjoy","0","0"
"Melisandre","0","0"
"Jorah Mormont","0","0"
"The Hound","1","0"
"The Mountain","0","0"
"Samwell Tarly","1","0"
"Gilly","1","0"
"Sam Jr.","0","1"
"Lord Varys","0","0"
"Brienne of Tarth","0","0"
"Davos Seaworth","0","0"
"Bronn","1","0"
"Podrick Payne","1","0"
"Tormund Giantsbane","0","0"
"Grey Worm","0","0"
"Gendry","1","0"
"Beric Dondarrion","0","0"
"Hot Pie","1","0"
"Lyanna Mormont","1","0"
"Meera Reed","1","0"
"Robert Arryn","0","0"
"Edmure Tully","1","0"
"Qyburn","0","0"
"Daario Naharis","1","0"
"Elia Sand","0","0"
"Ghost","1","0"
"Drogon","1","0"
"Rhaegal","1","0"
"danny_preg","1",""
"babby_survive","1",""
"dead_night_king","1",""
"night_king_killer","Arya",""
"iron_throne","Sansa",""
