"Character","Alive/Dead","Wight/White Walker"
"Jon Snow","0","0"
"Sansa Stark","1","0"
"Arya Stark","1","0"
"Bran Stark","1","0"
"Cersi Lannister","0","0"
"Jaime Lannister","0","0"
"Tyrion Lannister","0","1"
"Daenerys Targaryen","0","0"
"Missandei","1","0"
"Yara Greyjoy","0","0"
"Theon Greyjoy","0","1"
"Euron Greyjoy","0","0"
"Melisandre","1","0"
"Jorah Mormont","0","0"
"The Hound","1","0"
"The Mountain","1","0"
"Samwell Tarly","0","0"
"Gilly","1","0"
"Sam Jr.","0","0"
"Lord Varys","1","0"
"Brienne of Tarth","0","0"
"Davos Seaworth","0","0"
"Bronn","0","0"
"Podrick Payne","1","0"
"Tormund Giantsbane","1","0"
"Grey Worm","1","0"
"Gendry","1","0"
"Beric Dondarrion","1","0"
"Hot Pie","1","0"
"Lyanna Mormont","1","0"
"Meera Reed","1","0"
"Robert Arryn","1","0"
"Edmure Tully","1","0"
"Qyburn","1","0"
"Daario Naharis","1","0"
"Elia Sand","1","0"
"Ghost","1","0"
"Drogon","1","0"
"Rhaegal","1","0"
"danny_preg","0",""
"babby_survive","NA",""
"dead_night_king","0",""
"night_king_killer","NA",""
"iron_throne","None",""
