Character,Alive/Dead,Wight/White Walker
Jon Snow,1,0
Sansa Stark,1,0
Arya Stark,1,0
Bran Stark,1,0
Cersi Lannister,1,0
Jaime Lannister,1,0
Tyrion Lannister,1,0
Daenerys Targaryen,1,0
Missandei,0,0
Yara Greyjoy,1,0
Theon Greyjoy,0,0
Euron Greyjoy,1,0
Melisandre,0,0
Jorah Mormont,0,0
The Hound,1,0
The Mountain,1,0
Samwell Tarly,1,0
Gilly,1,0
Sam Jr.,1,0
Lord Varys,1,0
Brienne of Tarth,1,0
Davos Seaworth,1,0
Bronn,1,0
Podrick Payne,1,0
Tormund Giantsbane,1,0
Grey Worm,1,0
Gendry,1,0
Beric Dondarrion,0,1
Hot Pie,,0
Lyanna Mormont,0,1
Meera Reed,,0
Robert Arryn,,0
Edmure Tully,,0
Qyburn,1,0
Daario Naharis,,0
Elia Sand,,0
Ghost,1,0
Drogon,1,0
Rhaegal,0,0
danny_preg,0,
babby_survive,,
dead_night_king,1,
night_king_killer,Arya,
iron_throne,,
