"Character","Alive/Dead","Wight/White Walker"
"Jon Snow","0","1"
"Sansa Stark","1","0"
"Arya Stark","1","0"
"Bran Stark","0","0"
"Cersi Lannister","0","0"
"Jaime Lannister","1","0"
"Tyrion Lannister","1","0"
"Daenerys Targaryen","0","0"
"Missandei","0","0"
"Yara Greyjoy","0","0"
"Theon Greyjoy","0","0"
"Euron Greyjoy","0","1"
"Melisandre","0","0"
"Jorah Mormont","0","0"
"The Hound","0","0"
"The Mountain","0","1"
"Samwell Tarly","1","0"
"Gilly","1","0"
"Sam Jr.","1","0"
"Lord Varys","1","0"
"Brienne of Tarth","1","0"
"Davos Seaworth","1","0"
"Bronn","1","0"
"Podrick Payne","1","0"
"Tormund Giantsbane","0","1"
"Grey Worm","0","0"
"Gendry","0","0"
"Beric Dondarrion","0","0"
"Hot Pie","1","0"
"Lyanna Mormont","1","0"
"Meera Reed","0","1"
"Robert Arryn","1","0"
"Edmure Tully","1","0"
"Qyburn","0","0"
"Daario Naharis","0","0"
"Elia Sand","0","0"
"Ghost","0","0"
"Drogon","0","0"
"Rhaegal","0","0"
"danny_preg","0",""
"babby_survive","NA",""
"dead_night_king","0",""
"night_king_killer","NA",""
"iron_throne","NA",""
